628	C-47A7A7E0,International Symposium on Mixed and Augmented Reality	10	92
99	C-4694B652,Symposium on Principles of Database Systems	10	90
461	C-43765ED4,Australasian Conference on Information Security and Privacy	10	89
4	C-45B9D64F,Formal Methods	10	86
576	C-45D7DDA8,International Conference on Information Security and Cryptology	10	86
178	C-45C028EA,Intelligent User Interfaces	10	83
136	C-4401AFCF,Intelligent Information Systems	10	78
128	C-442F700A,Symposium on Computational Geometry	10	77
203	C-4769FF98,Languages and Compilers for Parallel Computing	10	76
126	C-4532399F,International Conference on Software Maintenance	10	76
247	C-44A6E67D,Workshop on Parallel and Distributed Simulation	10	75
187	C-451C38EE,ACM Symposium on Parallel Algorithms and Architectures	10	74
214	C-46B8FFD4,Australasian Database Conference	10	74
518	C-437CDDA1,High Level Design Validation and Test	10	73
257	C-45462B39,Embedded Software	10	73
51	C-46789D3E,Decision Support Systems	10	72
69	C-455B6732,IEEE Symposium on Security and Privacy	10	72
638	C-44236CB3,System-Level Interconnect Prediction	10	71
608	C-433BF259,Data Warehousing and Knowledge Discovery	10	70
581	C-4372E602,International Symposium on Distributed Computing	10	66
448	C-4373F5A0,Languages, Compilers, and Tools for Embedded Systems	10	65
524	C-457D0954,International Database Engineering and Applications Symposium	10	61
377	C-43A1990D,Asia-Pacific Software Engineering Conference	10	60
314	C-46142C30,International Symposium on Algorithms and Computation	10	60
540	C-45C742AD,Robot Soccer World Cup	10	57
369	C-4326CCD6,The European Symposium on Artificial Neural Networks	10	50
274	C-4503201D,International Symposium on Software Reliability Engineering	10	49
235	C-43A56762,Network and Operating System Support for Digital Audio and Video	10	49
93	C-43C40A80,Computing and Combinatorics Conference	10	48
394	C-4619EDE8,International Conference on Cryptology in India	10	46
374	C-466DD17F,Workshops on Enabling Technologies: Infrastracture for Collaborative Enterprises	10	45
414	C-472D3001,The Florida AI Research Society	10	44
381	C-46B774B0,Computers and Their Applications	10	42
584	C-471F9CDC,International Workshop on the Web and Databases	10	41
542	C-462F772C,String Processing and Information Retrieval	10	40
458	C-4516081A,Tools and Algorithms for Construction and Analysis of Systems	10	32
32	C-45465CC4,Compiler Construction	10	31
492	C-46DE2D44,Research in Computational Molecular Biology	10	28
228	C-4708B833,International Parallel and Distributed Processing Symposium	9	723
651	C-43520230,Computer Supported Cooperative Work in Design	9	462
287	C-478794CB,Web Intelligence	9	415
120	C-42CC6E2D,Computational Intelligence	9	402
273	C-43C1EF66,International Conference on Parallel and Distributed Systems	9	343
313	C-444CACB9,International Conference on VLSI Design	9	262
489	C-47A1D52F,Multimedia Signal Processing	9	254
698	C-4651456C,Cluster Computing and the Grid	9	240
449	C-46F58A2E,Multimedia Information Retrieval	9	221
311	C-468C0299,International Conference on Neural Information Processing	9	198
611	C-432DDB7E,European Test Symposium	9	156
617	C-44B7D8B2,Information Reuse and Integration	9	142
268	C-45126447,International Conference on Artificial Neural Networks	9	118
647	C-44C5464F,Bioinformatics and Bioengineering	9	115
168	C-47405592,Annual Computer Security Applications Conference	9	94
478	C-46155D1D,Information Hiding	9	82
671	C-461B085B,International Symposium on Performance Analysis of Systems and Software	9	82
633	C-46DAFD1F,Pacific Rim International Symposium on Dependable Computing	9	81
545	C-4503DE86,Workshop on Image Analysis for Multimedia Interactive Services	9	77
87	C-43B0793E,Symposium on Reliable Distributed Systems	9	67
544	C-46580135,Theory and Practice of Digital Libraries	9	66
593	C-461171C2,Web Information and Data Management	9	63
193	C-4549948F,Computer Aided Verification	9	62
184	C-44DF880B,Machine Vision Applications	9	56
39	C-464F6958,Information Security	9	55
499	C-46C3B28B,Brazilian Symposium on Databases	9	54
239	C-46CB61B2,Rapid System Prototyping	9	54
19	C-440ED19A,International Colloquium on Automata, Languages and Programming	9	53
519	C-4799A10B,Intelligent Data Analysis	9	49
342	C-477F6C83,Foundations of Software Engineering	9	49
417	C-46EF4FF9,Virtual Reality Software and Technology	9	49
451	C-468CDFB4,Pacific Symposium on Biocomputing	9	47
196	C-47B51FBD,Euromicro Conference on Real-Time Systems	9	45
33	C-437C7B15,Discovery Science	9	39
710	C-462A34B5,International Conference on Advanced Learning Technologies	9	37
36	C-452527AF,International Symposium on Multiple-Valued Logic	9	34
413	C-43CDABDA,Static Analysis Symposium	9	34
721	C-46E64AD9,Network Computing and Applications	9	33
372	C-43750ABA,Working Conference on Reverse Engineering	9	33
345	C-43247716,High Performance Interconnects	9	32
81	C-44C16141,International Cryptology Conference	9	31
265	C-4786A6E3,Inductive Logic Programming	9	30
589	C-4769E092,Recent Advances in Intrusion Detection	9	27
296	C-4718BF06,Combinatorial Pattern Matching	9	21
